;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/21;2021;6;Outro;All;68;119;0;187;689;440;1;1130;NA;NA;NA;NA
2;REGIONAL;15/02/21;2021;7;Outro;All;146;106;1;253;835;546;2;1383;NA;NA;NA;NA
3;REGIONAL;22/02/21;2021;8;Outro;All;73;19;0;92;908;565;2;1475;NA;NA;NA;NA
4;REGIONAL;01/03/21;2021;9;Outro;All;55;40;0;95;963;605;2;1570;NA;NA;NA;NA
5;REGIONAL;08/03/21;2021;10;Outro;All;277;13;0;290;1240;618;2;1860;NA;NA;NA;NA
6;REGIONAL;15/03/21;2021;11;Outro;All;18;27;0;45;1258;645;2;1905;NA;NA;NA;NA
7;REGIONAL;22/03/21;2021;12;Outro;All;310;4;0;314;1568;649;2;2219;NA;NA;NA;NA
8;REGIONAL;29/03/21;2021;13;Outro;All;317;11;0;328;1885;660;2;2547;NA;NA;NA;NA
9;REGIONAL;05/04/21;2021;14;Outro;All;55;16;0;71;1940;676;2;2618;NA;NA;NA;NA
10;REGIONAL;12/04/21;2021;15;Outro;All;261;7;0;268;2201;683;2;2886;NA;NA;NA;NA
11;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3332;8774;1;12107;27547;17356;1;44904;0,059026334;0,037189569;NA;NA
12;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4038;2806;1;6845;31585;20162;2;51749;0,067678759;0,043202126;NA;NA
13;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12006;1646;0;13652;43591;21808;2;65401;0,093404615;0,046729092;NA;NA
14;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10409;2827;0;13236;54000;24635;2;78637;0,1157085;0,052786646;NA;NA
15;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5789;1671;0;7460;59789;26306;2;86097;0,12811288;0,056367182;NA;NA
16;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3676;7721;0;11397;63465;34027;2;97494;0,135989629;0,072911354;NA;NA
17;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11814;2095;0;13909;75279;36122;2;111403;0,161304078;0,077400416;NA;NA
18;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6101;6258;0;12359;81380;42380;2;123762;0,174376995;0,090809745;NA;NA
19;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;13973;4284;0;18257;95353;46664;2;142019;0,204317641;0,099989286;NA;NA
20;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21630;2878;0;24508;116983;49542;2;166527;0,250665324;0,106156121;NA;NA
21;REGIONAL;08/02/21;2021;6;ARS Algarve;All;2362;2896;1;5259;12716;6304;1;19021;0,029005077;0,014379365;NA;NA
22;REGIONAL;15/02/21;2021;7;ARS Algarve;All;3168;2110;0;5278;15884;8414;1;24299;0,036231256;0,019192256;NA;NA
23;REGIONAL;22/02/21;2021;8;ARS Algarve;All;8435;1065;0;9500;24319;9479;1;33799;0,055471412;0,021621511;NA;NA
24;REGIONAL;01/03/21;2021;9;ARS Algarve;All;4599;549;0;5148;28918;10028;1;38947;0,065961688;0,022873775;NA;NA
25;REGIONAL;08/03/21;2021;10;ARS Algarve;All;5046;1535;0;6581;33964;11563;1;45528;0,077471567;0,026375095;NA;NA
26;REGIONAL;15/03/21;2021;11;ARS Algarve;All;2640;2992;0;5632;36604;14555;1;51160;0,083493383;0,033199819;NA;NA
27;REGIONAL;22/03/21;2021;12;ARS Algarve;All;9325;4278;0;13603;45929;18833;1;64763;0,104763621;0,042957897;NA;NA
28;REGIONAL;29/03/21;2021;13;ARS Algarve;All;4135;2902;0;7037;50064;21735;1;71800;0,114195517;0,049577332;NA;NA
29;REGIONAL;05/04/21;2021;14;ARS Algarve;All;8561;1760;0;10321;58625;23495;1;82121;0,133723079;0,053591876;NA;NA
30;REGIONAL;12/04/21;2021;15;ARS Algarve;All;13529;2135;0;15664;72154;25630;1;97785;0,164582602;0,058461791;NA;NA
31;REGIONAL;08/02/21;2021;6;ARS Centro;All;7460;27083;4;34547;79830;50994;8;130832;0,049096213;0,031361797;NA;NA
32;REGIONAL;15/02/21;2021;7;ARS Centro;All;25313;9916;3;35232;105143;60910;11;166064;0,06466395;0,037460232;NA;NA
33;REGIONAL;22/02/21;2021;8;ARS Centro;All;38211;3069;1;41281;143354;63979;12;207345;0,08816408;0,039347696;NA;NA
34;REGIONAL;01/03/21;2021;9;ARS Centro;All;28303;5873;1;34177;171657;69852;13;241522;0,105570695;0,042959647;NA;NA
35;REGIONAL;08/03/21;2021;10;ARS Centro;All;17431;13444;0;30875;189088;83296;13;272397;0,116290927;0,051227836;NA;NA
36;REGIONAL;15/03/21;2021;11;ARS Centro;All;16441;24076;2;40519;205529;107372;15;312916;0,126402299;0,066034806;NA;NA
37;REGIONAL;22/03/21;2021;12;ARS Centro;All;47434;4236;0;51670;252963;111608;15;364586;0,155574662;0,068639986;NA;NA
38;REGIONAL;29/03/21;2021;13;ARS Centro;All;24100;16605;3;40708;277063;128213;18;405294;0,170396392;0,07885222;NA;NA
39;REGIONAL;05/04/21;2021;14;ARS Centro;All;49521;10067;0;59588;326584;138280;18;464882;0,20085228;0,085043521;NA;NA
40;REGIONAL;12/04/21;2021;15;ARS Centro;All;77088;11873;1;88962;403672;150153;19;553844;0,248262137;0,09234553;NA;NA
41;REGIONAL;08/02/21;2021;6;ARS Lisboa e Vale do Tejo;All;14252;30247;1;44500;114640;60683;2;175325;0,031047271;0,016434417;NA;NA
42;REGIONAL;15/02/21;2021;7;ARS Lisboa e Vale do Tejo;All;32669;18971;2;51642;147309;79654;4;226967;0,039894823;0,02157222;NA;NA
43;REGIONAL;22/02/21;2021;8;ARS Lisboa e Vale do Tejo;All;48896;6621;0;55517;196205;86275;4;282484;0,053137036;0,023365347;NA;NA
44;REGIONAL;01/03/21;2021;9;ARS Lisboa e Vale do Tejo;All;44626;12683;1;57310;240831;98958;5;339794;0,065222831;0,026800208;NA;NA
45;REGIONAL;08/03/21;2021;10;ARS Lisboa e Vale do Tejo;All;32803;16439;2;49244;273634;115397;7;389038;0,074106673;0,031252285;NA;NA
46;REGIONAL;15/03/21;2021;11;ARS Lisboa e Vale do Tejo;All;25422;28845;2;54269;299056;144242;9;443307;0,080991563;0,039064205;NA;NA
47;REGIONAL;22/03/21;2021;12;ARS Lisboa e Vale do Tejo;All;87948;7401;0;95349;387004;151643;9;538656;0,104809998;0,041068574;NA;NA
48;REGIONAL;29/03/21;2021;13;ARS Lisboa e Vale do Tejo;All;44866;23620;5;68491;431870;175263;14;607147;0,116960791;0,047465439;NA;NA
49;REGIONAL;05/04/21;2021;14;ARS Lisboa e Vale do Tejo;All;86340;19301;1;105642;518210;194564;15;712789;0,140343741;0,052692614;NA;NA
50;REGIONAL;12/04/21;2021;15;ARS Lisboa e Vale do Tejo;All;162028;13953;0;175981;680238;208517;15;888770;0,184224823;0,056471422;NA;NA
51;REGIONAL;08/02/21;2021;6;ARS Norte;All;8474;28561;6;37041;105029;68777;7;173813;0,029375964;0,019236503;NA;NA
52;REGIONAL;15/02/21;2021;7;ARS Norte;All;32753;15001;3;47757;137782;83778;10;221570;0,038536776;0,02343219;NA;NA
53;REGIONAL;22/02/21;2021;8;ARS Norte;All;64448;4214;1;68663;202230;87992;11;290233;0,056562484;0,02461082;NA;NA
54;REGIONAL;01/03/21;2021;9;ARS Norte;All;47620;6836;0;54456;249850;94828;11;344689;0,069881505;0,026522807;NA;NA
55;REGIONAL;08/03/21;2021;10;ARS Norte;All;25090;13653;0;38743;274940;108481;11;383432;0,076899023;0,030341467;NA;NA
56;REGIONAL;15/03/21;2021;11;ARS Norte;All;26460;42112;5;68577;301400;150593;16;452009;0,084299722;0,042119934;NA;NA
57;REGIONAL;22/03/21;2021;12;ARS Norte;All;88114;2143;0;90257;389514;152736;16;542266;0,108944665;0,042719318;NA;NA
58;REGIONAL;29/03/21;2021;13;ARS Norte;All;53488;32407;1;85896;443002;185143;17;628162;0,123904929;0,051783356;NA;NA
59;REGIONAL;05/04/21;2021;14;ARS Norte;All;81542;13373;2;94917;524544;198516;19;723079;0,146711723;0,055523702;NA;NA
60;REGIONAL;12/04/21;2021;15;ARS Norte;All;134605;18906;1;153512;659149;217422;20;876591;0,184359912;0,060811593;NA;NA
61;REGIONAL;08/02/21;2021;6;RA_Madeira;All;3158;1085;0;4243;10991;4774;0;15765;0,043228425;0,018776499;NA;NA
62;REGIONAL;15/02/21;2021;7;RA_Madeira;All;2494;638;0;3132;13485;5412;0;18897;0,053037514;0,021285801;NA;NA
63;REGIONAL;22/02/21;2021;8;RA_Madeira;All;2255;2155;0;4410;15740;7567;0;23307;0,061906597;0,029761577;NA;NA
64;REGIONAL;01/03/21;2021;9;RA_Madeira;All;1431;3116;0;4547;17171;10683;0;27854;0,067534827;0,042017038;NA;NA
65;REGIONAL;08/03/21;2021;10;RA_Madeira;All;4881;2399;0;7280;22052;13082;0;35134;0,086732165;0,051452485;NA;NA
66;REGIONAL;15/03/21;2021;11;RA_Madeira;All;3102;2347;0;5449;25154;15429;0;40583;0,098932563;0,060683411;NA;NA
67;REGIONAL;22/03/21;2021;12;RA_Madeira;All;5273;182;0;5455;30427;15611;0;46038;0,119671667;0,061399231;NA;NA
68;REGIONAL;29/03/21;2021;13;RA_Madeira;All;1204;1260;0;2464;31631;16871;0;48502;0,124407089;0,066354905;NA;NA
69;REGIONAL;05/04/21;2021;14;RA_Madeira;All;10213;1299;0;11512;41844;18170;0;60014;0,164575582;0,071463969;NA;NA
70;REGIONAL;12/04/21;2021;15;RA_Madeira;All;8425;1298;0;9723;50269;19468;0;69737;0,197711737;0,0765691;NA;NA
71;REGIONAL;15/03/21;2021;11;RA_Acores;All;2029;1238;0;3267;13845;8376;0;22221;0,05702318;0,034498097;NA;NA
72;REGIONAL;22/03/21;2021;12;RA_Acores;All;3182;611;0;3793;17367;9316;0;26683;0,071529185;0,03836966;NA;NA
73;REGIONAL;29/03/21;2021;13;RA_Acores;All;1849;729;1;2579;19711;10298;2;30011;0,08118338;0,042414208;NA;NA
74;REGIONAL;05/04/21;2021;14;RA_Acores;All;2708;2030;0;4738;22806;12437;0;35243;0,093930707;0,051224073;NA;NA
75;REGIONAL;12/04/21;2021;15;RA_Acores;All;3397;2282;0;5679;30559;17914;22;48495;0,125862864;0,073782105;NA;NA
76;AGES;08/02/21;2021;6;All;0-17 anos;30;67;0;97;163;72;0;235;9,49E-05;4,19E-05;NA;NA
77;AGES;08/02/21;2021;6;All;18-24 anos;1384;3034;0;4418;11771;6559;0;18330;0,015174661;0,008455578;NA;NA
78;AGES;08/02/21;2021;6;All;25-49 anos;13007;30659;6;43672;139864;88617;11;228492;0,041618102;0,026368982;NA;NA
79;AGES;08/02/21;2021;6;All;50-64 anos;6531;22134;1;28666;82208;51022;3;133233;0,038022627;0,023598561;NA;NA
80;AGES;08/02/21;2021;6;All;65-79 anos;3517;11415;3;14935;34528;18083;3;52614;0,021518658;0,011269749;NA;NA
81;AGES;08/02/21;2021;6;All;80 ou mais anos;14637;31456;3;46096;82907;44975;3;127885;0,122668351;0,066544551;NA;NA
82;AGES;08/02/21;2021;6;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
83;AGES;15/02/21;2021;7;All;0-17 anos;20;16;0;36;183;88;0;271;0,000106578;5,13E-05;NA;NA
84;AGES;15/02/21;2021;7;All;18-24 anos;2188;1700;0;3888;13959;8259;0;22218;0,017995336;0,010647144;NA;NA
85;AGES;15/02/21;2021;7;All;25-49 anos;21167;18714;4;39885;161031;107331;15;268377;0,04791658;0,031937543;NA;NA
86;AGES;15/02/21;2021;7;All;50-64 anos;24403;12778;2;37183;106611;63800;5;170416;0,049309438;0,029508608;NA;NA
87;AGES;15/02/21;2021;7;All;65-79 anos;4694;7147;2;11843;39222;25230;5;64457;0,024444069;0,015723927;NA;NA
88;AGES;15/02/21;2021;7;All;80 ou mais anos;48109;9193;2;57304;131016;54168;5;185189;0,193849937;0,08014642;NA;NA
89;AGES;15/02/21;2021;7;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
90;AGES;22/02/21;2021;8;All;0-17 anos;21;31;0;52;204;119;0;323;0,000118808;6,93E-05;NA;NA
91;AGES;22/02/21;2021;8;All;18-24 anos;1237;622;0;1859;15196;8881;0;24077;0,019590022;0,011448999;NA;NA
92;AGES;22/02/21;2021;8;All;25-49 anos;10986;6435;1;17422;172017;113766;16;285799;0,051185588;0,03385235;NA;NA
93;AGES;22/02/21;2021;8;All;50-64 anos;49190;4554;1;53745;155801;68354;6;224161;0,072060667;0,031614912;NA;NA
94;AGES;22/02/21;2021;8;All;65-79 anos;11147;2205;0;13352;50369;27435;5;77809;0,031391141;0,017098135;NA;NA
95;AGES;22/02/21;2021;8;All;80 ou mais anos;101743;4942;0;106685;232759;59110;5;291874;0,344387842;0,087458553;NA;NA
96;AGES;22/02/21;2021;8;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
97;AGES;01/03/21;2021;9;All;0-17 anos;8;26;0;34;212;145;0;357;0,000123468;8,44E-05;NA;NA
98;AGES;01/03/21;2021;9;All;18-24 anos;873;949;0;1822;16069;9830;0;25899;0,020715456;0,012672409;NA;NA
99;AGES;01/03/21;2021;9;All;25-49 anos;7068;9162;0;16230;179085;122928;16;302029;0,053288751;0,036578605;NA;NA
100;AGES;01/03/21;2021;9;All;50-64 anos;29614;5652;1;35267;185415;74006;7;259428;0,085757657;0,03422906;NA;NA
101;AGES;01/03/21;2021;9;All;65-79 anos;12761;3600;0;16361;63130;31035;5;94170;0,039344095;0,019341739;NA;NA
102;AGES;01/03/21;2021;9;All;80 ou mais anos;86719;12535;1;99255;319478;71645;6;391129;0,47269639;0,106005211;NA;NA
103;AGES;01/03/21;2021;9;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
104;AGES;08/03/21;2021;10;All;0-17 anos;12;11;0;23;224;156;0;380;0,000130456;9,09E-05;NA;NA
105;AGES;08/03/21;2021;10;All;18-24 anos;1268;516;0;1784;17337;10346;0;27683;0,022350107;0,013337613;NA;NA
106;AGES;08/03/21;2021;10;All;25-49 anos;14716;4979;0;19695;193801;127907;16;321724;0,057667662;0,038060163;NA;NA
107;AGES;08/03/21;2021;10;All;50-64 anos;20954;3703;0;24657;206369;77709;7;284085;0,095449245;0,035941762;NA;NA
108;AGES;08/03/21;2021;10;All;65-79 anos;15071;3200;0;18271;78201;34235;5;112441;0,048736695;0,021336054;NA;NA
109;AGES;08/03/21;2021;10;All;80 ou mais anos;39296;36745;2;76043;358774;108390;8;467172;0,53083835;0,160372738;NA;NA
110;AGES;08/03/21;2021;10;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
111;AGES;15/03/21;2021;11;All;0-17 anos;1;23;0;24;242;183;0;425;0,000140939;0,000106578;NA;NA
112;AGES;15/03/21;2021;11;All;18-24 anos;223;365;1;589;17956;11026;1;28983;0,023148094;0,01421424;NA;NA
113;AGES;15/03/21;2021;11;All;25-49 anos;3993;2944;0;6937;201688;133621;16;335325;0,060014527;0,039760428;NA;NA
114;AGES;15/03/21;2021;11;All;50-64 anos;3885;2227;2;6114;212399;81437;9;293845;0,098238225;0,037666026;NA;NA
115;AGES;15/03/21;2021;11;All;65-79 anos;17476;6663;2;24141;97516;41880;7;139403;0,060774255;0,026100597;NA;NA
116;AGES;15/03/21;2021;11;All;80 ou mais anos;54208;97136;4;151348;416507;207092;12;623611;0,616259508;0,306411211;NA;NA
117;AGES;15/03/21;2021;11;All;Desconhecido;2;0;0;2;3;0;0;3;NA;NA;NA;NA
118;AGES;22/03/21;2021;12;All;0-17 anos;25;7;0;32;267;190;0;457;0,000155499;0,000110655;NA;NA
119;AGES;22/03/21;2021;12;All;18-24 anos;3079;111;0;3190;21039;11145;1;32185;0,027122564;0,014367649;NA;NA
120;AGES;22/03/21;2021;12;All;25-49 anos;41084;1166;0;42250;242800;134899;16;377715;0,072247864;0,040140711;NA;NA
121;AGES;22/03/21;2021;12;All;50-64 anos;33206;834;0;34040;245658;82303;9;327970;0,11362109;0,038066566;NA;NA
122;AGES;22/03/21;2021;12;All;65-79 anos;52070;2017;0;54087;149704;43908;7;193619;0,093299039;0,027364494;NA;NA
123;AGES;22/03/21;2021;12;All;80 ou mais anos;123936;16815;0;140751;540580;224073;12;764665;0,799836653;0,331536125;NA;NA
124;AGES;22/03/21;2021;12;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
125;AGES;29/03/21;2021;13;All;0-17 anos;7;12;0;19;274;214;0;488;0,000159576;0,000124632;NA;NA
126;AGES;29/03/21;2021;13;All;18-24 anos;612;64;1;677;21652;11226;2;32880;0,027912817;0,014472071;NA;NA
127;AGES;29/03/21;2021;13;All;25-49 anos;4141;720;2;4863;246973;135721;18;382712;0,073489587;0,040385306;NA;NA
128;AGES;29/03/21;2021;13;All;50-64 anos;7307;617;1;7925;253237;82946;11;336194;0,117126509;0,038363965;NA;NA
129;AGES;29/03/21;2021;13;All;65-79 anos;87470;7174;2;94646;237332;51151;9;288492;0,147910862;0,031878501;NA;NA
130;AGES;29/03/21;2021;13;All;80 ou mais anos;36523;75205;4;111732;577135;299305;16;876456;0,853923058;0,442848625;NA;NA
131;AGES;29/03/21;2021;13;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
132;AGES;05/04/21;2021;14;All;0-17 anos;14;1;0;15;288;215;0;503;0,00016773;0,000125215;NA;NA
133;AGES;05/04/21;2021;14;All;18-24 anos;693;103;0;796;22346;11338;2;33686;0,028807492;0,014616457;NA;NA
134;AGES;05/04/21;2021;14;All;25-49 anos;8342;814;0;9156;255352;136589;18;391959;0,075982852;0,040643589;NA;NA
135;AGES;05/04/21;2021;14;All;50-64 anos;14366;721;0;15087;267762;83685;10;351457;0,123844574;0,038705765;NA;NA
136;AGES;05/04/21;2021;14;All;65-79 anos;199412;4916;0;204328;436912;56090;9;493011;0,272293793;0,034956602;NA;NA
137;AGES;05/04/21;2021;14;All;80 ou mais anos;30085;45575;3;75663;607242;344885;18;952145;0,898469068;0,510288328;NA;NA
138;AGES;05/04/21;2021;14;All;Desconhecido;1;0;0;1;4;0;0;4;NA;NA;NA;NA
139;AGES;12/04/21;2021;15;All;0-17 anos;37;2;0;39;325;217;0;542;0,000189278;0,00012638;NA;NA
140;AGES;12/04/21;2021;15;All;18-24 anos;4166;56;0;4222;26683;11535;2;38220;0,034398563;0,01487042;NA;NA
141;AGES;12/04/21;2021;15;All;25-49 anos;88021;439;0;88460;345865;138923;32;484820;0,102916011;0,041338097;NA;NA
142;AGES;12/04/21;2021;15;All;50-64 anos;86636;363;0;86999;355519;84810;16;440345;0,16443371;0,039226097;NA;NA
143;AGES;12/04/21;2021;15;All;65-79 anos;231810;3283;1;235094;669263;59658;12;728933;0,417100378;0,037180263;NA;NA
144;AGES;12/04/21;2021;15;All;80 ou mais anos;10293;49189;1;59483;617566;394186;19;1011771;0,913744354;0,583233584;NA;NA
145;AGES;12/04/21;2021;15;All;Desconhecido;0;0;0;0;0;0;0;0;NA;NA;NA;NA
146;GENERAL;08/02/21;2021;6;All;All;39106;98765;13;137884;351442;209328;20;560790;0,03413414;0,020331182;651900;571981
147;GENERAL;15/02/21;2021;7;All;All;100581;49548;10;150139;452023;258876;30;710929;0,043903166;0,025143579;830730;718143
148;GENERAL;22/02/21;2021;8;All;All;174324;18789;2;193115;626347;277665;32;904044;0,060834551;0,026968478;1002999;933847
149;GENERAL;01/03/21;2021;9;All;All;137043;31924;2;168969;763390;309589;34;1073013;0,074144983;0,030069127;1186389;1095103
150;GENERAL;08/03/21;2021;10;All;All;91317;49154;2;140473;854707;358743;36;1213486;0,083014234;0,034843257;1468929;1264093
151;GENERAL;15/03/21;2021;11;All;All;79788;109358;9;189155;946311;475239;45;1421595;0,09191136;0,046158042;1713540;1462079
152;GENERAL;22/03/21;2021;12;All;All;253400;20950;0;274350;1200051;496518;45;1696614;0,1165561;0,048224785;1883850;1753999
153;GENERAL;29/03/21;2021;13;All;All;136060;83792;10;219862;1336606;580563;56;1917225;0,129819135;0,056387736;2344530;1996561
154;GENERAL;05/04/21;2021;14;All;All;252913;52130;3;305046;1589906;632802;57;2222765;0,15442114;0,061461499;2684460;2360167
155;GENERAL;12/04/21;2021;15;All;All;420963;53332;2;474297;2015225;689329;81;2704635;0,195730654;0,066951738;2983590;2679813